5;卡西欧AX升级版计算器AX-120B-SU-DC
6;卡西欧AX升级版计算器AX-120B-WU-DC
9;卡西欧AX升级版计算器AX-12B-SU-DC
10;卡西欧AX升级版计算器AX-12B-WU-DC
19;卡西欧纸盒装计算机 黑色DH-12-BK-SU-DH
20;卡西欧纸盒装计算机 白色DH-12-WE-SU-DH
21;卡西欧纸盒装计算机 黑色DH-14-BK-SU-DH
22;卡西欧纸盒装计算机 白色DH-14-WE-SU-DH
23;卡西欧彩色大型机（黑色）DW-200TW-BK-SU-DH
24;卡西欧彩色大型机（黑色）DW-200TW-BK-SU-DP
25;卡西欧彩色大型机（蓝色）DW-200TW-BU-SU-DH
26;卡西欧彩色大型机（蓝色）DW-200TW-BU-SU-DP
27;卡西欧彩色大型机（金色）DW-200TW-GD-SU-DP
28;卡西欧彩色大型机（魅惑红色）DW-200TW-PK-SU-DP
29;卡西欧彩色大型机（浓情红色）DW-200TW-RD-SU-DH
30;卡西欧彩色大型机（浓情红色）DW-200TW-RD-SU-DP
31;卡西欧彩色大型机（白色）DW-200TW-WE-SU-DH
32;卡西欧彩色大型机（白色）DW-200TW-WE-SU-DP
37;卡西欧DX升级版计算器DX-12B-SU-DC
38;卡西欧DX升级版计算器DX-12B-WU-DC
40;卡西欧纸盒装计算机 黑DZ-12S-SU-DP
41;卡西欧纸盒装计算机 白DZ-12S-WE-SU-DP
45;卡西欧GX升级版计算器GX-120B-SU-DC
46;卡西欧GX升级版计算器GX-120B-WU-DC
48;卡西欧GX升级版计算器GX-12B-SU-DC
49;卡西欧GX升级版计算器GX-12B-WU-DC
51;卡西欧GX升级版计算器GX-14B-SU-DC
71;卡西欧计算机 新MF-12B-SU-DC
91;卡西欧MX升级版计算器MX-120B-SU-DC
92;卡西欧MX升级版计算器MX-120B-WU-DC
94;卡西欧MX升级版计算器MX-12B-SU-DC
95;卡西欧MX升级版计算器MX-12B-WU-DC
98;卡西欧纸盒装计算机 黑MZ-12S-SU-DP
99;卡西欧纸盒装计算机 白MZ-12S-WE-SU-DP
120;卡西欧语音计算机MY-120-SU-DH
122;卡西欧语音计算机GY-120-SU-DH
123;卡西欧语音计算机DY-120-SU-DH
137;卡西欧中文函数计算机FX-350CN X-SU-DH
